City,State,Passengers,Upgrade Costs,Resource Demanded,Amount Demanded,Connects To,Region,
Albany,NY,10,"1,000/5,000/10,000",Lemon,50,"Kingston, Montpelier, Harrisburg",USA East,North America
Montpelier,VT,5,"500/1,000/5,000",Corn,25,"Albany, Ottawa, Augusta",USA East,
Augusta,ME,5,"500/1,000/5,000",Pig,25,"Sherbrooke, Montpelier, Halifax, Concord",USA East,
Concord,NH,5,"500/1,000/5,000",Wood,25,"Augusta, Boston",USA East,
Boston,MA,30,"50,000/500,000/1,000,000",Strawberry,350,"Concord, Providence",USA East,
Providence,RI,10,"1,000/5,000/10,000",Oil,50,"Boston, Hartford",USA East,
Hartford,CT,10,"1,000/5,000/10,000",Orange,50,"Providence, New York",USA East,
New York,NY,50,"500,000/1,000,000/2,000,000",BBQ Rib,1000,"Hartford, Trenton",USA East,
Trenton,NJ,10,"1,000/5,000/10,000",Pig,50,"New York, Philadelphia",USA East,
Philadelphia,PA,50,"500,000/1,000,000/2,000,000",Chicken,1000,"Trenton, Dover",USA East,
Dover,DE,5,"500/1,000/5,000",Corn,25,"Philadelphia, Baltimore",USA East,
Baltimore,MD,10,"1,000/5,000/10,000",Lemon,150,"Dover, Washington, D.C.",USA East,
Washington,DC,30,"50,000/500,000/1,000,000",Orange,350,"Baltimore, Richmond",USA East,
Richmond,VA,5,"500/1,000/5,000",Oil,25,"Washington, D.C., Raleigh",USA East,
Raleigh,NC,5,"500/1,000/5,000",Paper,150,"Richmond, Charleston, Columbia",USA East,
Charleston,WV,10,"1,000/5,000/10,000",Salmon,50,"Raleigh, Nashville, Columbus",USA East,
Columbus,OH,30,"50,000/500,000/1,000,000",Paper,350,"Charleston, Frankfort, Detroit",USA East,
Detroit,MI,30,"50,000/500,000/1,000,000",Corn,350,"Columbus, Indianapolis, Madison, London, Toledo",USA East,
Toledo,OH,5,"500/1,000/5,000",Pizza,25,"Detroit, Pittsburgh",USA East,
Pittsburgh,PA,15,"5,000/50,000/100,000",Cow,150,"Toledo, Harrisburg",USA East,
Harrisburg,PA,5,"500/1,000/5,000",Honey,25,"Pittsburgh, Albany",USA East,
Atlanta,GA,15,"5,000/50,000/100,000",Firework,150,"Columbia, Miami",USA South,
Miami,FL,15,"5,000/50,000/100,000",Copper,150,"Atlanta, Tallahassee",USA South,
Tallahassee,FL,10,"1,000/5,000/10,000",Paper,50,"Miami, Montgomery",USA South,
Montgomery,AL,10,"1,000/5,000/10,000",Wood,50,"Tallahassee, Jackson",USA South,
Jackson,MS,10,"1,000/5,000/10,000",Wheat,50,"Montgomery, Little Rock",USA South,
Little Rock,AK,5,"500/1,000/5,000",Salmon,25,"Jackson, New Orleans",USA South,
New Orleans,LA,50,"500,000/1,000,000/2,000,000",Corn,1000,"Little Rock, Baton Rouge",USA South,
Baton Rouge,LA,15,"5,000/50,000/100,000",Steel,150,"New Orleans, Houston",USA South,
Houston,TX,50,"500,000/1,000,000/2,000,000",Poutine,1000,"Baton Rouge, Austin",USA South,
Austin,TX,30,"50,000/500,000/1,000,000",Pizza,350,"Houston, Fort Stockton",USA South,
Fort Stockton,TX,5,"500/1,000/5,000",Strawberry,25,"Austin, El Paso, Dallas",USA South,
Dallas,TX,30,"50,000/500,000/1,000,000",Pig,350,"Fort Stockton, Oklahoma City",USA South,
Oklahoma City,OK,15,"5,000/50,000/100,000",Chicken,150,"Dallas, Santa Fe, Topeka",USA South,
Topeka,KS,10,"1,000/5,000/10,000",Apple,50,"Oklahoma City, Lincoln, Springfield, Jefferson City",USA South,
Jefferson City,MO,5,"500/1,000/5,000",Orange,25,"Topeka, Springfield, Memphis",USA South,
Memphis,TN,30,"50,000/500,000/1,000,000",Salmon,350,"Jefferson City, St. Louis, Frankfort",USA South,
Frankfort,KY,5,"500/1,000/5,000",Wood,25,"Memphis, Indianapolis, Columbus, Nashville",USA South,
Nashville,TN,30,"50,000/500,000/1,000,000",Cow,350,"Frankfort, Charleston, Columbia",USA South,
Columbia,SC,10,"1,000/5,000/10,000",BBQ Rib,50,"Nashville, Raleigh, Atlanta",USA South,
Billings,MT,10,"1,000/5,000/10,000",Carrot,50,"Helena, Rapid City",USA Center,
Rapid City,SD,5,"500/1,000/5,000",Honey,25,"Billings, Pierre",USA Center,
Pierre,SD,10,"1,000/5,000/10,000",Iron,50,"Rapid City, Regina, Bismarck",USA Center,
Bismarck,ND,10,"1,000/5,000/10,000",Copper,50,"Pierre, Saint Paul",USA Center,
Saint Paul,MN,10,"1,000/5,000/10,000",Hockey Stick,50,"Bismarck, Winnipeg, Madison",USA Center,
Madison,WI,10,"1,000/5,000/10,000",Paper,50,"Saint Paul, Detroit, Chicago",USA Center,
Chicago,IL,30,"50,000/500,000/1,000,000",Carrot,350,"Madison, Indianapolis",USA Center,
Indianapolis,IN,15,"5,000/50,000/100,000",Wheat,150,"Chicago, Detroit, Frankfort, St. Louis",USA Center,
St Louis,MO,15,"5,000/50,000/100,000",Wood,150,"Indianapolis, Memphis, Springfield",USA Center,
Springfield,IL,10,"1,000/5,000/10,000",Lemon,50,"St. Louis, Jefferson City, Topeka, Galesburg",USA Center,
Galesburg,IL,5,"500/1,000/5,000",Hockey Stick,25,"Springfield, Des Moines",USA Center,
Des Moines,IA,5,"500/1,000/5,000",Honey,25,"Galesburg, Lincoln",USA Center,
Lincoln,NE,10,"1,000/5,000/10,000",Pizza,50,"Des Moines, Topeka, Cheyenne",USA Center,
Cheyenne,WY,10,"1,000/5,000/10,000",Carrot,50,"Lincoln, Denver, Helena",USA Center,
Helena,MT,10,"1,000/5,000/10,000",Oil,50,"Cheyenne, Boise, Calgary, Billings",USA Center,
Albuquerque,NM,30,"50,000/500,000/1,000,000",Iron,350,"El Paso, Santa Fe",USA West,
Santa Fe,NM,10,"1,000/5,000/10,000",Iron,50,"Albuquerque, Denver, Oklahoma City",USA West,
Denver,CO,15,"5,000/50,000/100,000",Chicken,150,"Santa Fe, Boise, Cheyenne",USA West,
Boise,ID,10,"1,000/5,000/10,000",Wheat,50,"Denver, Kennewick, Banff, Helena",USA West,
Kennewick,WA,5,"500/1,000/5,000",Cow,25,"Boise, Seattle",USA West,
Seattle,WA,50,"500,000/1,000,000/2,000,000",Parka,1000,"Kennewick, Olympia, Vancouver",USA West,
Olympia,WA,10,"1,000/5,000/10,000",Apple,50,"Seattle, Portland",USA West,
Portland,OR,15,"5,000/50,000/100,000",Poutine,150,"Olympia, Sacramento",USA West,
Sacramento,CA,15,"5,000/50,000/100,000",Orange,150,"Portland, San Francisco",USA West,
San Francisco,CA,50,"500,000/1,000,000/2,000,000",Micro Processor,1000,"Sacramento, Los Angeles",USA West,
Los Angeles,CA,50,"500,000/1,000,000/2,000,000",Pizza,1000,"San Francisco, Las Vegas",USA West,
Las Vegas,NV,50,"500,000/1,000,000/2,000,000",Water,1000,"Los Angeles, Phoenix",USA West,
Phoenix,AZ,30,"50,000/500,000/1,000,000",Lemon,350,"Las Vegas, Tuscon",USA West,
Tucson,AZ,10,"1,000/5,000/10,000",Micro Processor,50,"Phoenix, El Paso",USA West,
El Paso,TX,10,"1,000/5,000/10,000",Copper,50,"Tuscon, Albuquerque, Fort Stockton",USA West,
Banff,AB,50,"500,000/1,000,000/2,000,000",Oil,1000,"Boise, Vancouver, Calgary",Canada Center,
Calgary,AB,30,"50,000/500,000/1,000,000",Firework,350,"Banff, Edmonton, Saskatoon, Helena",Canada Center,
Edmonton,AB,30,"50,000/500,000/1,000,000",Steel,350,"Calgary, Fort McMurray",Canada Center,
Fort McMurray,AB,10,"1,000/5,000/10,000",Water,50,"Edmonton, Wood Buffalo",Canada Center,
Wood Buffalo,AB,15,"10,000/50,000/100,000",Pig,150,"Fort McMurray, Yellowknife",Canada Center,
Yellowknife,NT,5,"500/1,000/5,000",Strawberry,25,"Wood Buffalo, Fort Simpson",Canada Center,
Fort Simpson,NT,5,"500/1,000/5,000",Iron,25,"Yellowknife, Whitehorse",Canada Center,
Whitehorse,YT,5,"500/1,000/5,000",Apple,25,"Fort Simpson, Iskut",Canada Center,
Iskut,BC,5,"500/1,000/5,000",Orange,25,"Whitehorse, Hazelton",Canada Center,
Hazelton,BC,10,"1,000/5,000/10,000",Corn,50,"Iskut, Kamloops",Canada Center,
Kamloops,BC,10,"1,000/5,000/10,000",Poutine,50,"Hazelton, Vancouver",Canada Center,
Vancouver,BC,30,"50,000/500,000/1,000,000",Micro Processor,350,"Kamloops, Banff, Seattle",Canada Center,
Charlottetown,PE,15,"5,000/50,000/100,000",Steel,150,"Edmundston, St. John's",Canada East,
St. John's,NL,30,"50,000/500,000/1,000,000",Copper,350,"Charlottetown, Halifax",Canada East,
Halifax,NS,15,"5,000/50,000/100,000",Oil,150,"St. John's, Augusta, Fredericton",Canada East,
Fredericton,NB,10,"1,000/5,000/10,000",Chicken,50,"Halifax, Sherbrooke",Canada East,
Sherbrooke,QC,10,"1,000/5,000/10,000",Lemon,50,"Fredericton, Augusta, Kingston",Canada East,
Kingston,ON,15,"5,000/50,000/100,000",BBQ Rib,150,"Sherbrooke, Albany, London",Canada East,
London,ON,15,"5,000/50,000/100,000",Pizza,150,"Kingston, Detroit, Toronto",Canada East,
Toronto,ON,50,"500,000/1,000,000/2,000,000",Micro Processor,1000,"London, Winnipeg, Ottawa",Canada East,
Ottawa,ON,30,"50,000/500,000/1,000,000",Parka,350,"Toronto, Montreal, Montpelier",Canada East,
Montreal,QC,50,"500,000/1,000,000/2,000,000",Firework,1000,"Ottawa, Edmundston",Canada East,
Edmundston,NB,5,"500/1,000/5,000",Wheat,25,"Montreal, Charlottetown",Canada East,
Galway,IE,5,"500/1,000/5,000",Strawberry,25,"Belfast, Dublin",Europe West,
Belfast,UK,10,"1,000/5,000/10,000",Carrot,50,"Galway, Edinburgh",Europe West,
Edinburgh,UK,15,"5,000/50,000/100,000",Sheep,150,"Galway, London",Europe West,
London,UK,50,"500,000/1,000,000/2,000,000",Tea,1000,,Europe West,
Amsterdam,NL,30,"50,000/500,000/1,000,000",Tea,350,,Europe West,
Brussels,BE,15,"5,000/50,000/100,000",Chicken,150,,Europe West,
Luxembourg City,LU,10,"1,000/5,000/10,000",Pasta,50,,Europe West,
Vaduz,LT,5,"500/1,000/5,000",Tea,25,,Europe West,
Zurich,CH,15,"5,000/50,000/100,000",Hockey Stick,150,,Europe West,
Bern,CH,30,"50,000/500,000/1,000,000",Sheep,350,,Europe West,
Paris,FR,50,"500,000/1,000,000/2,000,000",Tulip,1000,,Europe West,
Nantes,FR,15,"5,000/50,000/100,000",Sausage,150,,Europe West,
Southampton,UK,15,"5,000/50,000/100,000",Tea,50,,Europe West,
Cardiff,UK,15,"5,000/50,000/100,000",Pasta,150,,Europe West,
Dublin,IE,30,"50,000/500,000/1,000,000",Sausage,350,,Europe West,
Andorra La Velle,AD,30,"50,000/500,000/1,000,000",Tulip,350,,Europe South,
Bilbao,ES,10,"1,000/5,000/10,000",Casino Chip,50,,Europe South,
Porto,PT,15,"5,000/50,000/100,000",Meatball,150,,Europe South,
Lisbon,PT,10,"1,000/5,000/10,000",Sausage,50,,Europe South,
Madrid,ES,30,"50,000/500,000/1,000,000",Casino Chip,350,,Europe South,
Barcelona,ES,50,"500,000/1,000,000/2,000,000",Candle,1000,,Europe South,
Monaco,FR,50,"500,000/1,000,000/2,000,000",Casino Chip,1000,,Europe South,
Rome,IT,5,"500/1,000/5,000",Holy Water,25,,Europe South,
Naples,IT,10,"1,000/5,000/10,000",Pasta,50,,Europe South,
Valleta,MT,15,"5,000/50,000/100,000",Bonbon,150,,Europe South,
Tirana,AL,10,"1,000/5,000/10,000",Candle,50,,Europe South,
Athens,GR,30,"50,000/500,000/1,000,000",Meatball,350,,Europe South,
Skopje,MK,5,"500/1,000/5,000",Casino Chip,25,,Europe South,
Sarajevo,HB,10,"1,000/5,000/10,000",Tulip,50,,Europe South,
Zagreb,HR,15,"5,000/50,000/100,000",Onion,150,,Europe South,
Ljubljana,SK,10,"1,000/5,000/10,000",Sheep,50,,Europe South,
San Marino,IT,15,"5,000/50,000/100,000",Water,150,,Europe South,
Milan,IT,50,"500,000/1,000,000/2,000,000",Strawberry,1000,,Europe South,